2014-12-24 오후 10:41:57 Reply from 192.168.0.1; bytes=32 time<3 TTL=64
2014-12-24 오후 10:41:58 Reply from 192.168.0.1; bytes=32 time<2 TTL=64
2014-12-24 오후 10:41:59 Reply from 192.168.0.1; bytes=32 time<7 TTL=64
2014-12-24 오후 10:42:00 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:42:01 Reply from 192.168.0.1; bytes=32 time<12 TTL=64
2014-12-24 오후 10:42:02 Reply from 192.168.0.1; bytes=32 time<5 TTL=64
2014-12-24 오후 10:42:03 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:42:04 Reply from 192.168.0.1; bytes=32 time<3 TTL=64
2014-12-24 오후 10:42:05 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:42:06 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:42:07 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:42:08 Reply from 192.168.0.1; bytes=32 time<2 TTL=64
2014-12-24 오후 10:44:43 Reply from 192.168.0.16; bytes=32 time<11 TTL=128
2014-12-24 오후 10:44:44 Reply from 192.168.0.16; bytes=32 time<7 TTL=128
2014-12-24 오후 10:44:45 Reply from 192.168.0.16; bytes=32 time<8 TTL=128
2014-12-24 오후 10:44:46 Reply from 192.168.0.16; bytes=32 time<6 TTL=128
2014-12-24 오후 10:44:47 Reply from 192.168.0.16; bytes=32 time<6 TTL=128
2014-12-24 오후 10:44:48 Reply from 192.168.0.16; bytes=32 time<8 TTL=128
2014-12-24 오후 10:44:51 Reply from 192.168.0.16; bytes=32 time<15 TTL=128
2014-12-24 오후 10:44:52 Reply from 192.168.0.16; bytes=32 time<13 TTL=128
2014-12-24 오후 10:44:53 Reply from 192.168.0.16; bytes=32 time<4 TTL=128
2014-12-24 오후 10:44:54 Reply from 192.168.0.16; bytes=32 time<23 TTL=128
2014-12-24 오후 10:44:55 Reply from 192.168.0.16; bytes=32 time<13 TTL=128
2014-12-24 오후 10:44:56 Reply from 192.168.0.16; bytes=32 time<5 TTL=128
2014-12-24 오후 10:44:57 Reply from 192.168.0.16; bytes=32 time<3 TTL=128
2014-12-24 오후 10:44:58 Reply from 192.168.0.16; bytes=32 time<3 TTL=128
2014-12-24 오후 10:44:59 Reply from 192.168.0.16; bytes=32 time<8 TTL=128
2014-12-24 오후 10:45:00 Reply from 192.168.0.16; bytes=32 time<6 TTL=128
